Question;Option A;Option B;Option C;Option D;Option E;Correct Answer
What is a major limitation of template matching in motion estimation?;A. Low computational cost;B. Sensitivity to changes in scale;C. High adaptability to changes;D. Robustness to noise;E. Flexibility in dynamic scenes;B
In motion estimation, which method is best suited for estimating large displacements?;A. Sparse optical flow;B. Block matching;C. Dense optical flow;D. Template matching;E. Background subtraction;B
What challenge does occlusion present in object tracking systems?;A. Simplifies state estimation;B. Reduces noise levels;C. Hinders detection accuracy;D. Increases processing speed;E. Enhances image clarity;C
Which statement about particle filtering is true?;A. It assumes linear system models;B. It is ineffective for non-linear systems;C. It uses weighted samples to approximate distributions;D. It requires large-scale data sets;E. It provides exact state solutions;C
In object tracking, what is the primary role of the measurement model?;A. To provide the final estimate;B. To generate noise parameters;C. To relate observations to states;D. To initialize the filter;E. To reduce data size;C
What is an advantage of using hidden Markov models for tracking?;A. They require no state transitions;B. They explicitly model noise;C. They assume states are directly observable;D. They provide a probabilistic framework;E. They simplify state dynamics;D
What type of noise does the Kalman filter assume in its model?;A. Multiplicative noise;B. Gaussian noise;C. Uniform noise;D. Exponential noise;E. Deterministic noise;B
Why is Bayesian inference frequently used in dynamic systems?;A. It requires no probabilistic models;B. It assumes static system dynamics;C. It provides a framework for updating beliefs;D. It ignores past observations;E. It guarantees error-free predictions;C
Which factor makes optical flow suitable for capturing small motions?;A. High sensitivity to noise;B. Ability to model large displacements;C. Assumption of temporal consistency;D. Ignoring spatial changes;E. Direct measurement of motion;C
In object tracking, what is the key advantage of particle filters over Kalman filters?;A. Faster computation;B. Less data requirement;C. Flexibility with non-linear dynamics;D. Reduced computational cost;E. Simplicity in implementation;C
Which assumption is critical for the Kalman filter's operation in tracking?;A. Constant state noise;B. Non-linear state transitions;C. Linear measurement models;D. No initial state uncertainty;E. High computational complexity;C
What is a major drawback of using background subtraction in dynamic scenes?;A. High computational demand;B. Reduced image quality;C. Sensitivity to background changes;D. Increased data size;E. Inability to detect static objects;C
Which tracking method best handles the challenge of occlusion?;A. Block matching;B. Kalman filtering;C. Optical flow;D. Particle filtering;E. Template matching;D
In Bayesian networks, what does a node typically represent?;A. A deterministic outcome;B. A probabilistic variable;C. A fixed state;D. A linear transition;E. A constant measurement;B
Which technique is most effective for tracking multiple objects in real-time?;A. Simple background subtraction;B. Histogram-based tracking;C. Active contour models;D. Particle filtering;E. Kalman filtering;D
Why is state estimation important in object tracking?;A. To generate noise parameters;B. To compress image data;C. To predict future positions;D. To increase resolution;E. To blur moving objects;C
Which factor is most challenging for dense motion estimation algorithms?;A. Low computational cost;B. Handling small displacements;C. Managing large data volumes;D. Ensuring high frame rates;E. Enhancing color accuracy;C
Which problem does Bayesian inference address by combining prior knowledge with new evidence?;A. Data redundancy;B. Noise amplification;C. State uncertainty;D. Motion blur;E. Color distortion;C
