Question;Option A;Option B;Option C;Option D;Option E;Correct Answer
Which is a key benefit of using convolutional layers over fully connected layers?;A. They reduce the model's ability to generalize;B. They require more parameters;C. They can learn spatial hierarchies of features;D. They are computationally expensive;;C
What is a common use of the softmax function in CNNs?;A. To normalize the output probabilities across multiple classes;B. To decrease the dimensionality of the feature maps;C. To improve the model's speed;D. To randomly initialize weights;;A
In the context of CNNs, what does 'filter size' refer to?;A. The number of layers in the network;B. The dimensions of the kernel used in convolution;C. The stride length used;D. The depth of the input;;B
Which of the following is an advantage of transfer learning?;A. It requires a large amount of labeled data;B. It is time-consuming;C. It can improve performance on small datasets by using pretrained models;D. It increases overfitting risk;;C
What does the term 'epoch' refer to in the context of training neural networks?;A. The number of layers in the network;B. A single pass through the entire training dataset;C. The time it takes to train the model;D. The number of parameters in the model;;B
Which CNN architecture is known for significantly reducing the vanishing gradient problem?;A. VGG;B. ResNet;C. AlexNet;D. GoogLeNet;;B
Which process involves modifying a pretrained model to better suit a new, specific task?;A. Batch normalization;B. Transfer learning;C. Data augmentation;D. Hyperparameter tuning;;B
What is a 'stride' in the context of a convolutional layer?;A. The activation function used;B. The step size by which the filter moves over the input;C. The size of the filter used;D. The depth of the output layer;;B
In which scenario is max pooling typically used?;A. To increase the size of the input;B. To average input values;C. To down-sample feature maps;D. To normalize the input;;C
Which architecture is known for its simplicity and ease of implementation?;A. GoogLeNet;B. ResNet;C. VGG;D. DenseNet;;C
What does the ReLU activation function compute?;A. The exponential of the input;B. The maximum of zero and the input;C. The sigmoid of the input;D. The average of the input;;B
