Question;Option A;Option B;Option C;Option D;Option E;Correct Answer
Which one of the following networks is most suited for image segmentation tasks?;A. Multilayer perceptron (MLP);B. Fully convolutional network (FCN);C. Region proposal network (RPN);D. Recurrent neural network (RNN);;B
Which one of the following statements about motion analysis is incorrect?;A. Detection of moving objects by subtraction of successive images in a video works best if the background is constant.;B. Sparse motion estimation in a video can be done by template matching and minimising the mutual information measure.;C. Dense motion estimation using optical flow assumes that each small neighbourhood remains constant over time.;D. Optical flow provides an equation for each pixel but requires further constraints to solve the equation uniquely.;;B
Which one of the following statements about object tracking is incorrect?;A. The particle filtering method assumes that the dynamics model and the measurement model can be parameterized.;B. The hidden Markov model assumes that the measurements depend only on the current state of the objects.;C. The prediction step of Bayesian inference assumes that the current state of the objects depends only on the previous state.;D. The Kalman filtering method assumes that the dynamics and measurement noise are additive Gaussian.;;A
In many image processing operations, the image must be expanded a little bit to solve the boundary problem. Which one of the following types of expansion is implicitly used by the Fourier transform?;A. Padding;B. Clamping;C. Wrapping;D. Mirroring;;C
Which one of the following equations concerning convolution (∗) of two images (𝑓𝑓 and 𝑔𝑔) is correct?;A. 𝑓𝑓 ∗ 𝑔𝑔 = (𝑔𝑔 ∗ 𝑓𝑓)−1;B. 𝑓𝑓 ∗ (𝑔𝑔 + ℎ) = (𝑓𝑓 ∗ 𝑔𝑔) + (𝑓𝑓 ∗ ℎ);C. 𝑎𝑎 ∙ (𝑓𝑓 ∗ 𝑔𝑔) = (𝑎𝑎 ∙ 𝑓𝑓) ∗ (𝑎𝑎 ∙ 𝑔𝑔);D. 𝑓𝑓 ∗ 𝑔𝑔 = 𝑓𝑓 ∗ 𝑔𝑔;;B
Suppose we have the following grayscale input image 𝐼𝐼 (shown on the left) and we would like to have a binary output image 𝑂𝑂 (as shown on the right) containing the edges of the objects in the input. Also suppose that the only image processing operations available for this are intensity thresholding, dilation and erosion (binary and grayscale), and image subtraction. Which one of the following algorithms will not produce the desired output?;A. Thresholding (result = 𝑇𝑇), then erosion (result = 𝐸𝐸), then subtraction (result = 𝐸𝐸 − 𝑇𝑇).;B. Erosion (result = 𝐸𝐸), then subtraction (result = 𝐼𝐼 − 𝐸𝐸), then thresholding (result = 𝑇𝑇).;C. Thresholding (result = 𝑇𝑇), then dilation (result = 𝐷𝐷), then subtraction (result = 𝐷𝐷 − 𝑇𝑇).;D. Dilation (result = 𝐷𝐷), then subtraction (result = 𝐷𝐷 − 𝐼𝐼), then thresholding (result = 𝑇𝑇).;;C
Which one of the following automatic thresholding methods will give the best segmentation result here?;A. Mean thresholding;B. IsoData thresholding;C. Otsu thresholding;D. Triangle thresholding;;C
Which one of the following statements about data augmentation for image classification using CNNs is correct?;A. Augmentation increases the number of parameters in the model.;B. Augmentation reduces the size of the dataset to speed up training.;C. Augmentation generates new training data by transforming the existing data.;D. Augmentation reduces the depth of the network for better performance.;;C
Which one of the following statements about image segmentation methods is incorrect?;A. Thresholding based on pixel intensity yields poor results if the regions to be segmented have overlapping intensity distributions.;B. Level-set segmentation uses an object boundary representation that makes it hard to deal with topological changes.;C. Region splitting techniques aim to optimize some metric of intra-region similarity and inter-region dissimilarity.;D. Watershed segmentation often results in over-segmentation because image regions may contain multiple local minima.;;B
Suppose we have a 2D image that is very noisy and we want to smooth it by filtering with a uniform kernel of size 5 × 5 voxels. Let 𝑆𝑆 be the total number of floating-point operations required per pixel to perform the operation when using a dimensionally separated implementation of the filter. And let 𝑁𝑁 be the total number of floating-point operations required per pixel to perform the operation when using a dimensionally nonseparated implementation of the filter. What is the ratio 𝑆𝑆/𝑁𝑁 (as a percentage rounded to one decimal)?;A. 36.7%;B. 40.0%;C. 58.8%;D. 66.7%;;B
Which one of the following correctly describes the effect of this kernel when applied to an image?;A. Smoothing in 𝑥𝑥 and first-order differentiation in 𝑦𝑦.;B. Smoothing in 𝑥𝑥 and second-order differentiation in 𝑦𝑦.;C. First-order differentiation in 𝑥𝑥 and smoothing in 𝑦𝑦.;D. Second-order differentiation in 𝑥𝑥 and smoothing in 𝑦𝑦.;;C
Which one of the following mapping functions (red curves) from intensities in 𝐼𝐼 to intensities in 𝑂𝑂 was used by the point operator?;A. ;B. ;C. ;D. ;;B
