Question;Option A;Option B;Option C;Option D;Option E;Correct Answer
Which operation increases the contrast of an image?;A. Quantisation;B. Low-pass filtering;C. Histogram equalization;D. Median filtering;;C
What is the effect of high-pass filtering?;A. Smooths the image;B. Enhances edges;C. Reduces noise;D. Blurs the image;;B
What is the role of clamping in image convolution?;A. Adds new pixels;B. Repeats edge pixels;C. Changes pixel intensity;D. Rotates the image;;B
Which filter is commonly used in CNNs for reducing image size?;A. Gaussian filter;B. Mean filter;C. Pooling;D. Laplacean filter;;C
What is the main advantage of using a Gaussian filter?;A. Increases sharpness;B. Smooths while preserving edges;C. Reduces color depth;D. Enhances brightness;;B
Which property of convolution allows different kernel applications to be combined?;A. Linearity;B. Shift Invariance;C. Commutativity;D. Associativity;;D
What does the Laplacean filter emphasize in an image?;A. Low-frequency components;B. High-frequency components;C. Color depth;D. Brightness;;B
Which color space is best for intuitive color manipulation?;A. RGB;B. HSV;C. YCbCr;D. Lab;;B
What is a common use of the YCbCr color space?;A. Printing;B. Display screens;C. Video compression;D. Image editing;;C
How does the perspective projection affect parallel lines?;A. Makes them curved;B. Makes them intersect;C. Makes them diverge;D. Makes them converge;;D
What is the primary benefit of using the Lab color space?;A. Reduces image size;B. Perceptual uniformity;C. Simplifies calculations;D. Increases resolution;;B
Which operation is performed in the Fourier space?;A. Spatial filtering;B. Point operation;C. Frequency domain filtering;D. Clamping;;C
What does spatial filtering primarily use?;A. Frequency components;B. Pixel neighborhoods;C. Color channels;D. Time intervals;;B
What is the key characteristic of barrel distortion?;A. Image edges are stretched outwards;B. Image center is pushed inwards;C. Colors are distorted;D. Image is rotated;;A
Which transformation reduces the image size while maintaining essential features?;A. Upscaling;B. Downsampling;C. Wrapping;D. Clamping;;B
What does mirroring do in the context of image processing?;A. Adds a frame;B. Reflects edges across borders;C. Enhances brightness;D. Changes color hue;;B
What does a median filter effectively remove?;A. Low-frequency noise;B. High-frequency noise;C. Salt-and-pepper noise;D. Color noise;;C
Which property of Gaussian filters makes them preferable for smoothing?;A. Circular symmetry;B. Linear response;C. Edge distortion;D. Color reduction;;A
How does affine projection simplify calculations?;A. By increasing resolution;B. By using average depth;C. By reducing color depth;D. By enhancing sharpness;;B
What is the function of pooling in CNNs?;A. Increase image contrast;B. Reduce computational complexity;C. Enhance color saturation;D. Rotate image orientation;;B
What is the primary use of gradient filters?;A. To blur images;B. To detect edges;C. To compress images;D. To change colors;;B
Which operation is used to enhance image edges?;A. Low-pass filtering;B. High-pass filtering;C. Quantisation;D. Sampling;;B
What effect does Laplacean sharpening have on an image?;A. Increases brightness;B. Decreases contrast;C. Emphasizes fine details;D. Blurs edges;;C
